"key","message","comment","context"
"On new",,,
"On save",,,
"OneToMany",,,
"OneToOne",,,
"Only if",,,
"Only use this menu-item if the given expression is true.",,,
"Only use this menu-item if the given module is installed.",,,
"Options",,,
"Order","顺序",,
"Overview","概要",,
"Package","包路径",,
"Padding",,,
"Panel",,,
"Params","参数",,
"Parent","上级",,
"Password","密码",,
"Password doesn't match","密码不匹配",,
"Pending",,,
"Permission","权限",,
"Permissions","权限",,
"Permissions (fields)","权限(字段)",,
"Personal",,,
"Personalized View",,,
"Personalized Views",,,
"Photo",,,
"Placeholder",,,
"Please refresh your browser to see updated views.",,,
"Precision",,,
"Preferences","偏好",,
"Prefix",,,
"Priority","优先级",,
"Read","读",,
"Readonly",,,
"Readonly if",,,
"Recipients",,,
"Record created",,,
"Record updated",,,
"Record was updated or deleted by another transaction",,,
"Reference error",,,
"Regex",,,
"Related",,,
"Related document id",,,
"Related document model",,,
"Related document name",,,
"Related model",,,
"Related name",,,
"Related object",,,
"Relationship","关联",,
"Removable","可卸载",,
"Remove","删除",,
"Replies",,,
"Required",,,
"Required if",,,
"Restart jobs...",,,
"Restart the server for updates to take effect.",,,
"Restore all...",,,
"Role","角色",,
"Roles","角色",,
"Root",,,
"Rule","规则",,
"Rules","规则",,
"SQL error",,,
"Scale",,,
"Schedule",,,
"Schedules",,,
"Schema",,,
"Search",,,
"Select","选择",,
"Select Item",,,
"Selection",,,
"Selects",,,
"Separator",,,
"Sequence",,,
"Sequence order",,,
"Server expression to check whether to use this field.",,,
"Shared",,,
"Shared with me",,,
"Show Model",,,
"Show if",,,
"Show permissions",,,
"Single tab","单标签页",,
"Size",,,
"Size in bytes",,,
"Specify whether the members of this group are technical staff.",,,
"Specify whether this action can be used as home action.",,,
"Specify whether to block the user for an indeterminate times.",,,
"Status","状态",,
"String",,,
"Style","类型",,
"Subject",,,
"Subscribe","订阅",,
"Success",,,
"Suffix",,,
"Summary",,,
"System notification",,,
"Table","表",,
"Tag","标签",,
"Tag count","计数",,
"Tag label","标注",,
"Tag method","方法",,
"Tag style","类型",,
"Tags","所有标签",,
"Target custom model",,,
"Target json model",,,
"Target model",,,
"Task",,,
"Task closed",,,
"Task created",,,
"Task date","任务日期",,
"Task deadline","截止日期",,
"Task duration","持续时间",,
"Tasks","所有任务",,
"Tasks assigned to me","指派给我的任务",,
"Tasks created by me","我创建的任务",,
"Tasks due","应有任务",,
"Tasks todo","代办任务",,
"Team","团队",,
"Teams","所有团队",,
"Teamwork","团队协作",,
"Technical staff","技术员工",,
"The addition data for UI widgets.",,,
"The image icon to show in UI widgets.",,,
"The module can't be uninstalled because other modules are pending. Please restart the server before.",,,
"The module can't be uninstalled because other non-removable modules depend on it.",,,
"The record(s) are referenced by other records, please remove all the references first.",,,
"The record(s) can't be updated as it violates unique constraint.",,,
"The scheduler service is disabled.",,,
"The select item title.",,,
"The select item value.",,,
"Theme","主题",,
"This may terminate any running jobs. Are sure to continue?",,,
"Time",,,
"Title","标题",,
"Tooltip",,,
"Top menu","主菜单",,
"Topic",,,
"Topic closed",,,
"Topic created",,,
"Topic re-opened",,,
"Topics",,,
"Translation",,,
"Tree",,,
"Type","类型",,
"Unexpected database error occurred on the server.",,,
"Uninstall",,,
"Unique constraint violation",,,
"Unique message identifier",,,
"Unread","未读",,
"Unsubscribe","取消订阅",,
"Updated by","更新人",,
"Updated on","更新时间",,
"Urgent","紧急",,
"Used as home action",,,
"User",,,
"User Management","用户管理",,
"User preferences","用户偏好",,
"Users","用户",,
"Validate",,,
"Validation error",,,
"Value","值",,
"Value Expression",,,
"Version","版本号",,
"View","视图",,
"View Help","视图帮助",,
"View Management","视图管理",,
"Views","视图",,
"Visibility","可见性",,
"Visible","可见",,
"Visible in grid",,,
"Warning",,,
"Whether to grant create access.",,,
"Whether to grant export access.",,,
"Whether to grant read access.",,,
"Whether to grant remove access.",,,
"Whether to grant write access.",,,
"Whether to show help messages.",,,
"Whether to use tabbed ui.",,,
"Widget",,,
"Widget Attributes",,,
"Widget attrs",,,
"Write","写",,
"Xml",,,
"You are not allowed to remove this filter",,,
"You are not authorized to create this resource.",,,
"You are not authorized to export the data.",,,
"You are not authorized to read this resource.",,,
"You are not authorized to remove this resource.",,,
"You are not authorized to update this resource.",,,
"You can't create document here.",,,
"You can't move document here.",,,
"action-attrs",,,
"action-condition",,,
"action-export",,,
"action-group",,,
"action-import",,,
"action-method",,,
"action-record",,,
"action-report",,,
"action-script",,,
"action-validate",,,
"action-view",,,
"action-ws",,,
"added comment","添加备注",,
"confirm password","确认密码",,
"form::Select","Select",,
"important","重要的",,
"login name","登录名",,
"new password","新密码",,
"success","成功",,
"updated document","更新文档",,
"user group","用户组",,
"user name","用户名",,
"{0} customized view is deleted.","{0} 定制视图被删除.",,
"{0} customized views are deleted.","{0} 定制视图被全部删除.",,
"%d days",,,
"%d hours",,,
"%d minutes",,,
"%d months",,,
"%d years",,,
"%s ago",,,
"(end)",,,
"(start)",,,
"({0} items)",,,
"About","关于",,
"Action",,,
"Action Category",,,
"Action Sub-Category",,,
"Active Users",,,
"Add",,,
"Add Field","增加字段",,
"Add filter","增加过滤",,
"Add followers",,,
"Add some tags",,,
"Add to favorites...",,,
"Advanced Search","高级搜索",,
"Alert",,,
"All Day",,,
"Apply","应用",,
"Apr",,,
"April",,,
"Archive","归档",,
"Are you sure to unfollow this document?",,,
"Are you sure to unfollow this group?",,,
"Are you sure you want to delete the {0} selected documents?",,,
"Are you sure you want to delete {0}?",,,
"Attached to...",,,
"Attachments","附件",,
"Attributes",,,
"Aug",,,
"August",,,
"Back",,,
"Background color",,,
"Blockquote",,,
"Bold (Ctrl+B)",,,
"Calendar",,,
"Cancel","取消",,
"Cancelled","已取消",,
"Cards",,,
"Center",,,
"Chart",,,
"Clear","清除",,
"Click or drop image",,,
"Close","关闭",,
"Close All","全部关闭",,
"Close Others","关闭其他的",,
"Code",,,
"Concurrent updates error",,,
"Create",,,
"Create ""{0}"" and select...",,,
"Create ""{0}""...",,,
"Create document","创建文档",,
"Create folder","创建文件夹",,
"Create spreadsheet","创建电子表格",,
"Create...",,,
"Created",,,
"Created By:","创建人",,
"Created On:","创建时间",,
"Current changes will be lost.","当前更改将丢失。",,
"Current changes will be lost. Do you really want to proceed?","当前更改将丢失。你真的想继续吗？",,
"Custom ({0})",,,
"Customize...",,,
"Day",,,
"Days",,,
"Dec",,,
"December",,,
"Delete","删除",,
"Delete...",,,
"Description",,,
"Details",,,
"Do you really want to archive the selected record(s)?",,,
"Do you really want to archive the selected record?",,,
"Do you really want to delete the selected record(s)?",,,
"Do you really want to delete the selected record?",,,
"Do you really want to unarchive the selected record(s)?",,,
"Do you really want to unarchive the selected record?",,,
"Do you really want to update all {0} record(s)?",,,
"Document",,,
"Domain",,,
"Done",,,
"Download",,,
"Downloading {0}...",,,
"Drop your files to start upload.",,,
"Duplicate","拷贝",,
"Duration",,,
"Edit",,,
"Edit event",,,
"Edit...",,,
"Email",,,
"Error",,,
"Expanded",,,
"Export",,,
"Export full","导出全部",,
"Failed",,,
"Failed!",,,
"False",,,
"Feb",,,
"February",,,
"Field Name",,,
"Field Type",,,
"File upload","文件上传",,
"File {0} does not exist.",,,
"Filter",,,
"Filters",,,
"Filters ({0})",,,
"Folder","文件夹",,
"Follow: {0}",,,
"Followers",,,
"Font",,,
"Font size",,,
"Form",,,
"Formatted",,,
"Fr",,,
"Free Memory",,,
"Fri",,,
"Friday",,,
"Gantt",,,
"Go",,,
"Grid",,,
"Group by",,,
"Grouped",,,
"Header 1",,,
"Header 2",,,
"Header 3",,,
"Header 4",,,
"Header 5",,,
"Header 6",,,
"Hide",,,
"Home",,,
"Hour",,,
"Hours",,,
"Indent",,,
"Information",,,
"Insert image",,,
"Insert link",,,
"Internal Server Error",,,
"Invalid permissions",,,
"Invalid use of ""{0}"" action, must be the first action.",,,
"Invalid use of ""{0}"" action, must be the last action.",,,
"Italic (Ctrl+I)",,,
"Jan",,,
"January",,,
"Java Runtime",,,
"Java Version",,,
"Jul",,,
"July",,,
"Jun",,,
"June",,,
"Justify",,,
"Kanban",,,
"L",,,
"Language",,,
"Large",,,
"Larger",,,
"Last access time",,,
"Last modified...","最后修改...",,
"Left",,,
"Link",,,
"Loading",,,
"Log in",,,
"Log in attempt failed.",,,
"Log in time",,,
"Log out","退出",,
"Mar",,,
"March",,,
"Mark as important",,,
"Mark as not important",,,
"Mark as read",,,
"Mark as unread",,,
"Mass Update",,,
"Max Memory",,,
"May",,,
"Medium",,,
"Memory Information",,,
"Milestone",,,
"Minute",,,
"Minutes",,,
"Mo",,,
"Modified",,,
"Mon",,,
"Monday",,,
"Month",,,
"Months",,,
"More",,,
"More actions",,,
"More...",,,
"Move to archive",,,
"Move to inbox",,,
"My Filters","我的过滤器",,
"N/A",,,
"New",,,
"New Document","新建文档",,
"New Folder","新建文件夹",,
"New Spreadsheet","新建电子表格",,
"New task","新建任务",,
"Next",,,
"No",,,
"No documents found.","没有找到文档",,
"No filters available","没有可用的过滤器",,
"No records found.","没有找到记录",,
"No results found","没有找到结果",,
"Normal",,,
"Normalize",,,
"Nov",,,
"November",,,
"Now",,,
"OK",,,
"Object",,,
"Oct",,,
"October",,,
"Offline!",,,
"Operating System",,,
"Ordered list",,,
"Organize favorites...",,,
"Orig. Value",,,
"Outdent",,,
"Owner",,,
"Password",,,
"Pending",,,
"Permissions",,,
"Permissions ({0})",,,
"Permissions...",,,
"Please correct the invalid form values.",,,
"Please wait...",,,
"Post",,,
"Preferences",,,
"Prev",,,
"Print",,,
"Project",,,
"Question","询问",,
"Recipients",,,
"Reference",,,
"Refresh","刷新",,
"Remove",,,
"Remove format",,,
"Rename...",,,
"Report attached to current object. Would you like to download?",,,
"Retry",,,
"Right",,,
"Sa",,,
"Sat",,,
"Saturday",,,
"Save","保存",,
"Save as","保存为",,
"Save filter as","过滤器保存为",,
"Search","搜索",,
"Search Objects","搜索对象",,
"Search more...",,,
"Search...",,,
"Second",,,
"Select",,,
"Select ""{0}""...",,,
"Send",,,
"Sep",,,
"September",,,
"Server is not responding.",,,
"Share","共享",,
"Show",,,
"Show Details",,,
"Show archived","显示已归档",,
"Show translations.",,,
"Small",,,
"Smaller",,,
"Sort Ascending",,,
"Sort Descending",,,
"Spreadsheet","电子表格",,
"Stack %",,,
"Stacked",,,
"Start time",,,
"Stream",,,
"Strikethrough (Ctrl+S)",,,
"Style",,,
"Su",,,
"Subject",,,
"Submit",,,
"Success",,,
"Sun",,,
"Sunday",,,
"System Information",,,
"Task",,,
"Task name",,,
"Task will be deleted permanently, are you sure?",,,
"Tasks due",,,
"Tasks todo",,,
"Text color",,,
"Th",,,
"The following fields are invalid:",,,
"The record has been updated or delete by another action.",,,
"The {0}={1} event can't call 'save' action on unsaved o2m item.",,,
"There are some invalid rows.",,,
"Thu",,,
"Thursday",,,
"Time period",,,
"Today",,,
"Toggle",,,
"Total Memory",,,
"Translation",,,
"Translations",,,
"True",,,
"Tu",,,
"Tue",,,
"Tuesday",,,
"Type",,,
"Unable to move the record.",,,
"Unarchive","解档",,
"Underline (Ctrl+U)",,,
"Ungroup",,,
"Unknown",,,
"Unordered list",,,
"Update",,,
"Update all",,,
"Updated By:","更新人",,
"Updated On:","更新时间",,
"Upload complete",,,
"Uploading files...",,,
"Used Memory",,,
"User",,,
"Validation error",,,
"Value",,,
"View",,,
"Warning",,,
"We",,,
"Wed",,,
"Wednesday",,,
"Week",,,
"Wk",,,
"Would you like to reload the current record?","要重新加载当前记录吗？",,
"Would you like to remove the filter?","要删除过滤器吗？",,
"Write your comment here","在这里写下你的评论",,
"Year",,,
"Years",,,
"Yes",,,
"You are not allow to upload a file bigger than",,,
"You can't create document here.",,,
"[Last] dddd [at] LT",,,
"[Today at] LT",,,
"[Tomorrow at] LT",,,
"[Yesterday at] LT",,,
"a day",,,
"a few seconds",,,
"a minute",,,
"a month",,,
"a year",,,
"an hour",,,
"and","与",,
"and {0} more",,,
"contains",,,
"dddd [at] LT",,,
"doesn't contain",,,
"equals",,,
"greater or equal",,,
"greater than",,,
"in",,,
"in %s",,,
"in range",,,
"is false",,,
"is not null",,,
"is null",,,
"is true",,,
"less or equal",,,
"less than",,,
"load more",,,
"name",,,
"no tasks",,,
"not equal",,,
"not in",,,
"not in range",,,
"or","或",,
"replies ({0} of {1})",,,
"value",,,
"will be deleted",,,
"{0} of {1}",,,
"{0} task",,,
"{0} tasks",,,
"{0} to {1} of {2}",,,
